parcel_id,ts_utc,temp,g_force,label
BX-001,2025-09-05T12:00:00+00:00,3.97,0.32,NORMAL
BX-001,2025-09-05T12:00:02+00:00,4.95,0.26,NORMAL
BX-001,2025-09-05T12:00:04+00:00,4.61,0.49,NORMAL
BX-001,2025-09-05T12:00:06+00:00,3.17,0.61,NORMAL
BX-001,2025-09-05T12:00:08+00:00,3.11,0.55,NORMAL
BX-001,2025-09-05T12:00:10+00:00,3.21,0.27,NORMAL
BX-001,2025-09-05T12:00:12+00:00,4.27,0.86,NORMAL
BX-001,2025-09-05T12:00:14+00:00,3.37,0.38,NORMAL
BX-001,2025-09-05T12:00:16+00:00,4.88,0.96,NORMAL
BX-001,2025-09-05T12:00:18+00:00,4.73,0.52,NORMAL
BX-001,2025-09-05T12:00:20+00:00,5.93,0.24,NORMAL
BX-001,2025-09-05T12:00:22+00:00,5.58,0.43,NORMAL
BX-001,2025-09-05T12:00:24+00:00,3.43,0.29,NORMAL
BX-001,2025-09-05T12:00:26+00:00,3.93,0.85,NORMAL
BX-001,2025-09-05T12:00:28+00:00,3.54,0.67,NORMAL
BX-001,2025-09-05T12:00:30+00:00,4.92,0.5,NORMAL
BX-001,2025-09-05T12:00:32+00:00,4.64,0.25,NORMAL
BX-001,2025-09-05T12:00:34+00:00,3.18,0.36,NORMAL
BX-001,2025-09-05T12:00:36+00:00,5.04,0.54,NORMAL
BX-001,2025-09-05T12:00:38+00:00,3.94,0.67,NORMAL
BX-001,2025-09-05T12:00:40+00:00,11.49,0.44,ALERT
BX-001,2025-09-05T12:00:42+00:00,10.94,0.4,ALERT
BX-001,2025-09-05T12:00:44+00:00,11.32,0.9,ALERT
BX-001,2025-09-05T12:00:46+00:00,9.8,0.98,ALERT
BX-001,2025-09-05T12:00:48+00:00,9.88,0.81,ALERT
BX-001,2025-09-05T12:00:50+00:00,11.17,0.23,ALERT
BX-001,2025-09-05T12:00:52+00:00,11.69,0.66,ALERT
BX-001,2025-09-05T12:00:54+00:00,10.99,0.76,ALERT
BX-001,2025-09-05T12:00:56+00:00,11.6,0.56,ALERT
BX-001,2025-09-05T12:00:58+00:00,11.16,0.58,ALERT
BX-001,2025-09-05T12:01:00+00:00,11.12,0.76,ALERT
BX-001,2025-09-05T12:01:02+00:00,5.98,0.86,NORMAL
BX-001,2025-09-05T12:01:04+00:00,3.85,0.51,NORMAL
BX-001,2025-09-05T12:01:06+00:00,5.01,0.22,NORMAL
BX-001,2025-09-05T12:01:08+00:00,4.39,0.33,NORMAL
BX-001,2025-09-05T12:01:10+00:00,3.35,0.25,NORMAL
BX-001,2025-09-05T12:01:12+00:00,5.3,0.3,NORMAL
BX-001,2025-09-05T12:01:14+00:00,3.74,0.51,NORMAL
BX-001,2025-09-05T12:01:16+00:00,5.61,0.26,NORMAL
BX-001,2025-09-05T12:01:18+00:00,4.35,0.64,NORMAL
BX-001,2025-09-05T12:01:20+00:00,5.65,0.86,NORMAL
BX-001,2025-09-05T12:01:22+00:00,5.59,0.42,NORMAL
BX-001,2025-09-05T12:01:24+00:00,4.25,0.49,NORMAL
BX-001,2025-09-05T12:01:26+00:00,5.65,0.97,NORMAL
BX-001,2025-09-05T12:01:28+00:00,3.45,0.34,NORMAL
BX-001,2025-09-05T12:01:30+00:00,3.7,0.39,NORMAL
BX-001,2025-09-05T12:01:32+00:00,4.45,0.67,NORMAL
BX-001,2025-09-05T12:01:34+00:00,3.79,0.2,NORMAL
BX-001,2025-09-05T12:01:36+00:00,4.26,0.5,NORMAL
BX-001,2025-09-05T12:01:38+00:00,4.7,0.96,NORMAL
BX-001,2025-09-05T12:01:40+00:00,5.07,0.61,NORMAL
BX-001,2025-09-05T12:01:42+00:00,4.85,0.74,NORMAL
BX-001,2025-09-05T12:01:44+00:00,3.16,0.92,NORMAL
BX-001,2025-09-05T12:01:46+00:00,5.34,0.9,NORMAL
BX-001,2025-09-05T12:01:48+00:00,5.39,0.51,NORMAL
BX-001,2025-09-05T12:01:50+00:00,4.2,0.28,NORMAL
BX-001,2025-09-05T12:01:52+00:00,4.9,0.25,NORMAL
BX-001,2025-09-05T12:01:54+00:00,3.2,0.37,NORMAL
BX-001,2025-09-05T12:01:56+00:00,3.49,0.47,NORMAL
BX-001,2025-09-05T12:01:58+00:00,3.16,0.2,NORMAL
BX-001,2025-09-05T12:02:00+00:00,3.45,0.28,NORMAL
BX-001,2025-09-05T12:02:02+00:00,4.09,0.22,NORMAL
BX-001,2025-09-05T12:02:04+00:00,5.62,0.69,NORMAL
BX-001,2025-09-05T12:02:06+00:00,3.45,0.4,NORMAL
BX-001,2025-09-05T12:02:08+00:00,4.04,0.49,NORMAL
BX-001,2025-09-05T12:02:10+00:00,3.37,0.88,NORMAL
BX-001,2025-09-05T12:02:12+00:00,5.98,0.57,NORMAL
BX-001,2025-09-05T12:02:14+00:00,4.45,0.27,NORMAL
BX-001,2025-09-05T12:02:16+00:00,3.31,0.47,NORMAL
BX-001,2025-09-05T12:02:18+00:00,3.79,0.86,NORMAL
BX-002,2025-09-05T12:03:00+00:00,3.48,0.22,NORMAL
BX-002,2025-09-05T12:03:02+00:00,5.85,0.62,NORMAL
BX-002,2025-09-05T12:03:04+00:00,3.44,0.63,NORMAL
BX-002,2025-09-05T12:03:06+00:00,3.08,0.62,NORMAL
BX-002,2025-09-05T12:03:08+00:00,5.94,0.89,NORMAL
BX-002,2025-09-05T12:03:10+00:00,5.09,0.41,NORMAL
BX-002,2025-09-05T12:03:12+00:00,4.1,0.33,NORMAL
BX-002,2025-09-05T12:03:14+00:00,5.32,0.63,NORMAL
BX-002,2025-09-05T12:03:16+00:00,5.34,0.46,NORMAL
BX-002,2025-09-05T12:03:18+00:00,3.67,0.85,NORMAL
BX-002,2025-09-05T12:03:20+00:00,5.95,0.88,NORMAL
BX-002,2025-09-05T12:03:22+00:00,5.42,0.85,NORMAL
BX-002,2025-09-05T12:03:24+00:00,5.22,0.38,NORMAL
BX-002,2025-09-05T12:03:26+00:00,4.55,0.48,NORMAL
BX-002,2025-09-05T12:03:28+00:00,3.09,0.22,NORMAL
BX-002,2025-09-05T12:03:30+00:00,3.84,0.41,NORMAL
BX-002,2025-09-05T12:03:32+00:00,5.08,0.97,NORMAL
BX-002,2025-09-05T12:03:34+00:00,4.34,0.95,NORMAL
BX-002,2025-09-05T12:03:36+00:00,5.96,0.96,NORMAL
BX-002,2025-09-05T12:03:38+00:00,4.09,0.38,NORMAL
BX-002,2025-09-05T12:03:40+00:00,10.01,0.36,ALERT
BX-002,2025-09-05T12:03:42+00:00,11.6,0.92,ALERT
BX-002,2025-09-05T12:03:44+00:00,11.5,0.72,ALERT
BX-002,2025-09-05T12:03:46+00:00,11.77,0.73,ALERT
BX-002,2025-09-05T12:03:48+00:00,10.7,0.8,ALERT
BX-002,2025-09-05T12:03:50+00:00,10.33,0.83,ALERT
BX-002,2025-09-05T12:03:52+00:00,10.49,0.98,ALERT
BX-002,2025-09-05T12:03:54+00:00,11.31,0.96,ALERT
BX-002,2025-09-05T12:03:56+00:00,9.88,0.3,ALERT
BX-002,2025-09-05T12:03:58+00:00,9.87,0.85,ALERT
BX-002,2025-09-05T12:04:00+00:00,11.14,0.98,ALERT
BX-002,2025-09-05T12:04:02+00:00,4.05,0.64,NORMAL
BX-002,2025-09-05T12:04:04+00:00,3.39,0.21,NORMAL
BX-002,2025-09-05T12:04:06+00:00,5.91,0.72,NORMAL
BX-002,2025-09-05T12:04:08+00:00,4.58,0.95,NORMAL
BX-002,2025-09-05T12:04:10+00:00,4.3,0.9,NORMAL
BX-002,2025-09-05T12:04:12+00:00,5.48,0.37,NORMAL
BX-002,2025-09-05T12:04:14+00:00,3.76,0.43,NORMAL
BX-002,2025-09-05T12:04:16+00:00,3.72,0.67,NORMAL
BX-002,2025-09-05T12:04:18+00:00,3.78,0.54,NORMAL
BX-002,2025-09-05T12:04:20+00:00,3.39,0.93,NORMAL
BX-002,2025-09-05T12:04:22+00:00,4.06,0.57,NORMAL
BX-002,2025-09-05T12:04:24+00:00,4.75,0.92,NORMAL
BX-002,2025-09-05T12:04:26+00:00,4.26,0.93,NORMAL
BX-002,2025-09-05T12:04:28+00:00,4.5,0.63,NORMAL
BX-002,2025-09-05T12:04:30+00:00,4.57,0.21,NORMAL
BX-002,2025-09-05T12:04:32+00:00,4.32,0.35,NORMAL
BX-002,2025-09-05T12:04:34+00:00,3.01,0.84,NORMAL
BX-002,2025-09-05T12:04:36+00:00,3.52,0.58,NORMAL
BX-002,2025-09-05T12:04:38+00:00,5.18,0.65,NORMAL
BX-002,2025-09-05T12:04:40+00:00,3.98,0.61,NORMAL
BX-002,2025-09-05T12:04:42+00:00,4.67,0.83,NORMAL
BX-002,2025-09-05T12:04:44+00:00,3.32,0.65,NORMAL
BX-002,2025-09-05T12:04:46+00:00,3.75,0.42,NORMAL
BX-002,2025-09-05T12:04:48+00:00,5.32,0.61,NORMAL
BX-002,2025-09-05T12:04:50+00:00,4.69,0.81,NORMAL
BX-002,2025-09-05T12:04:52+00:00,5.74,0.55,NORMAL
BX-002,2025-09-05T12:04:54+00:00,4.84,0.6,NORMAL
BX-002,2025-09-05T12:04:56+00:00,4.54,0.75,NORMAL
BX-002,2025-09-05T12:04:58+00:00,4.36,0.63,NORMAL
BX-002,2025-09-05T12:05:00+00:00,4.43,0.95,NORMAL
BX-002,2025-09-05T12:05:02+00:00,5.1,0.9,NORMAL
BX-002,2025-09-05T12:05:04+00:00,5.83,0.41,NORMAL
BX-002,2025-09-05T12:05:06+00:00,4.68,0.95,NORMAL
BX-002,2025-09-05T12:05:08+00:00,5.52,0.31,NORMAL
BX-002,2025-09-05T12:05:10+00:00,3.36,0.55,NORMAL
BX-002,2025-09-05T12:05:12+00:00,3.22,0.39,NORMAL
BX-002,2025-09-05T12:05:14+00:00,3.22,0.74,NORMAL
BX-002,2025-09-05T12:05:16+00:00,5.35,0.92,NORMAL
BX-002,2025-09-05T12:05:18+00:00,3.46,0.77,NORMAL
BX-003,2025-09-05T12:06:00+00:00,4.98,0.31,NORMAL
BX-003,2025-09-05T12:06:02+00:00,5.65,0.97,NORMAL
BX-003,2025-09-05T12:06:04+00:00,3.66,0.96,NORMAL
BX-003,2025-09-05T12:06:06+00:00,4.19,0.59,NORMAL
BX-003,2025-09-05T12:06:08+00:00,5.97,0.87,NORMAL
BX-003,2025-09-05T12:06:10+00:00,3.48,0.55,NORMAL
BX-003,2025-09-05T12:06:12+00:00,4.55,0.47,NORMAL
BX-003,2025-09-05T12:06:14+00:00,3.59,0.45,NORMAL
BX-003,2025-09-05T12:06:16+00:00,5.17,0.22,NORMAL
BX-003,2025-09-05T12:06:18+00:00,4.66,0.55,NORMAL
BX-003,2025-09-05T12:06:20+00:00,3.05,0.47,NORMAL
BX-003,2025-09-05T12:06:22+00:00,4.87,0.61,NORMAL
BX-003,2025-09-05T12:06:24+00:00,3.19,0.99,NORMAL
BX-003,2025-09-05T12:06:26+00:00,5.37,0.98,NORMAL
BX-003,2025-09-05T12:06:28+00:00,3.31,0.41,NORMAL
BX-003,2025-09-05T12:06:30+00:00,3.12,0.82,NORMAL
BX-003,2025-09-05T12:06:32+00:00,3.81,0.3,NORMAL
BX-003,2025-09-05T12:06:34+00:00,4.27,0.93,NORMAL
BX-003,2025-09-05T12:06:36+00:00,5.46,0.41,NORMAL
BX-003,2025-09-05T12:06:38+00:00,3.45,0.94,NORMAL
BX-003,2025-09-05T12:06:40+00:00,4.71,0.76,NORMAL
BX-003,2025-09-05T12:06:42+00:00,3.27,0.25,NORMAL
BX-003,2025-09-05T12:06:44+00:00,5.06,0.54,NORMAL
BX-003,2025-09-05T12:06:46+00:00,3.22,0.95,NORMAL
BX-003,2025-09-05T12:06:48+00:00,4.9,0.84,NORMAL
BX-003,2025-09-05T12:06:50+00:00,8.63,0.88,NORMAL
BX-003,2025-09-05T12:06:52+00:00,5.59,0.56,NORMAL
BX-003,2025-09-05T12:06:54+00:00,4.02,0.64,NORMAL
BX-003,2025-09-05T12:06:56+00:00,5.78,0.41,NORMAL
BX-003,2025-09-05T12:06:58+00:00,3.39,0.62,NORMAL
BX-003,2025-09-05T12:07:00+00:00,3.72,0.29,NORMAL
BX-003,2025-09-05T12:07:02+00:00,3.48,0.24,NORMAL
BX-003,2025-09-05T12:07:04+00:00,3.61,0.45,NORMAL
BX-003,2025-09-05T12:07:06+00:00,3.92,0.81,NORMAL
BX-003,2025-09-05T12:07:08+00:00,3.87,0.6,NORMAL
BX-003,2025-09-05T12:07:10+00:00,3.53,0.48,NORMAL
BX-003,2025-09-05T12:07:12+00:00,3.05,0.4,NORMAL
BX-003,2025-09-05T12:07:14+00:00,3.05,0.79,NORMAL
BX-003,2025-09-05T12:07:16+00:00,4.65,0.35,NORMAL
BX-003,2025-09-05T12:07:18+00:00,4.42,0.95,NORMAL
BX-003,2025-09-05T12:07:20+00:00,8.82,0.86,NORMAL
BX-003,2025-09-05T12:07:22+00:00,4.49,0.87,NORMAL
BX-003,2025-09-05T12:07:24+00:00,4.18,0.61,NORMAL
BX-003,2025-09-05T12:07:26+00:00,5.06,0.99,NORMAL
BX-003,2025-09-05T12:07:28+00:00,4.03,0.87,NORMAL
BX-003,2025-09-05T12:07:30+00:00,5.12,0.71,NORMAL
BX-003,2025-09-05T12:07:32+00:00,4.21,0.48,NORMAL
BX-003,2025-09-05T12:07:34+00:00,3.16,0.3,NORMAL
BX-003,2025-09-05T12:07:36+00:00,3.21,0.79,NORMAL
BX-003,2025-09-05T12:07:38+00:00,3.77,0.33,NORMAL
BX-003,2025-09-05T12:07:40+00:00,3.25,0.87,NORMAL
BX-003,2025-09-05T12:07:42+00:00,5.61,0.74,NORMAL
BX-003,2025-09-05T12:07:44+00:00,3.85,0.39,NORMAL
BX-003,2025-09-05T12:07:46+00:00,3.88,0.57,NORMAL
BX-003,2025-09-05T12:07:48+00:00,3.47,0.56,NORMAL
BX-003,2025-09-05T12:07:50+00:00,9.09,0.97,NORMAL
BX-003,2025-09-05T12:07:52+00:00,4.64,0.4,NORMAL
BX-003,2025-09-05T12:07:54+00:00,5.9,0.45,NORMAL
BX-003,2025-09-05T12:07:56+00:00,4.07,0.2,NORMAL
BX-003,2025-09-05T12:07:58+00:00,4.14,0.58,NORMAL
BX-003,2025-09-05T12:08:00+00:00,4.51,0.36,NORMAL
BX-003,2025-09-05T12:08:02+00:00,4.51,0.2,NORMAL
BX-003,2025-09-05T12:08:04+00:00,3.79,0.27,NORMAL
BX-003,2025-09-05T12:08:06+00:00,4.2,0.23,NORMAL
BX-003,2025-09-05T12:08:08+00:00,3.07,0.44,NORMAL
